hero,role,data_tier,map,map_name,update_date,win_rate,pick_rate,ban_rate,win_rate_z,pick_rate_log,pick_rate_z,total_score,rank
라인하르트,Tank,All,blizzard-world,블리자드 월드,2026-05-18,44.0,6.3,0.8,-1.3030424148443784,1.9878743481543455,-0.296930422340785,-0.8945552433813956,C
레킹볼,Tank,All,blizzard-world,블리자드 월드,2026-05-18,52.2,3.6,7.2,1.4013364332346339,1.5260563034950494,-1.0634852793006804,0.497171399665402,S
로드호그,Tank,All,blizzard-world,블리자드 월드,2026-05-18,40.3,5.2,2.3,-2.5233109194653967,1.824549292051046,-0.5680277007323115,-1.4782888689775204,C
루시우,Support,All,blizzard-world,블리자드 월드,2026-05-18,42.6,4.2,0.1,-1.7647656328090873,1.6486586255873816,-0.8599821755105869,-1.381861275256142,C
리퍼,Damage,All,blizzard-world,블리자드 월드,2026-05-18,49.6,14.8,4.8,0.543850457014459,2.760009940032921,0.9847091650053205,0.6213423301306837,S
마우가,Tank,All,blizzard-world,블리자드 월드,2026-05-18,43.6,11.1,22.3,-1.4349633342628665,2.4932054526026954,0.5418501687761487,-0.25376876791056624,B
메르시,Support,All,blizzard-world,블리자드 월드,2026-05-18,44.7,8.0,1.2,-1.072180805862023,2.1972245773362196,0.050562355043920586,-0.6392109746167303,C
메이,Damage,All,blizzard-world,블리자드 월드,2026-05-18,49.5,5.5,0.4,0.5108702271598364,1.8718021769015913,-0.48959436793719574,-0.09006475585476179,B
모이라,Support,All,blizzard-world,블리자드 월드,2026-05-18,44.5,13.5,1.6,-1.1381412655712682,2.6741486494265287,0.8421911536362943,-0.4050116858312075,B
미즈키,Support,All,blizzard-world,블리자드 월드,2026-05-18,47.1,7.2,4.4,-0.2806552893510933,2.1041341542702074,-0.10395502850775015,-0.1302103553115489,B
바스티온,Damage,All,blizzard-world,블리자드 월드,2026-05-18,46.7,7.8,1.6,-0.4125762087695812,2.174751721484161,0.013260484745924707,-0.29090835809747484,B
바티스트,Support,All,blizzard-world,블리자드 월드,2026-05-18,46.7,6.4,0.2,-0.4125762087695812,2.0014800002101243,-0.2743468988382377,-0.514611262466999,C
벤데타,Damage,All,blizzard-world,블리자드 월드,2026-05-18,48.9,2.0,5.5,0.3129888480321034,1.0986122886681098,-1.7729839431862742,-0.3011448503773289,B
벤처,Damage,All,blizzard-world,블리자드 월드,2026-05-18,49.0,2.6,0.6,0.345969077886726,1.2809338454620642,-1.470355069097991,-0.44301072139100994,B
브리기테,Support,All,blizzard-world,블리자드 월드,2026-05-18,44.2,3.3,0.2,-1.2370819551351335,1.4586150226995167,-1.1754285910687408,-1.1971886433189258,C
소전,Damage,All,blizzard-world,블리자드 월드,2026-05-18,43.2,11.4,0.3,-1.5668842536813543,2.517696472610991,0.5825019158362084,-0.8204844792258038,C
솔저: 76,Damage,All,blizzard-world,블리자드 월드,2026-05-18,48.2,15.5,0.1,0.08212723904975018,2.803360380906535,1.05666497398099,0.11657930552074969,A
솜브라,Damage,All,blizzard-world,블리자드 월드,2026-05-18,48.9,3.6,53.4,0.3129888480321034,1.5260563034950494,-1.0634852793006804,0.2893076840638429,A
시그마,Tank,All,blizzard-world,블리자드 월드,2026-05-18,53.7,13.2,5.7,1.8960398810539651,2.653241964607215,0.8074889132701824,1.2699087575264327,S
시메트라,Damage,All,blizzard-world,블리자드 월드,2026-05-18,52.0,3.1,3.9,1.3353759735253887,1.410986973710262,-1.2544846450762703,0.31537727073680144,A
시에라,Damage,All,blizzard-world,블리자드 월드,2026-05-18,52.7,19.3,22.5,1.5662375825077441,3.0106208860477417,1.400689094972546,1.5060024556549052,S
아나,Support,All,blizzard-world,블리자드 월드,2026-05-18,50.8,50.1,12.7,0.9396132152699227,3.933784497209659,2.933014559705898,1.5564828361294702,S
안란,Damage,All,blizzard-world,블리자드 월드,2026-05-18,51.8,9.6,9.3,1.2694155138161436,2.3608540011180215,0.3221648421966807,0.8874306343789188,S
애쉬,Damage,All,blizzard-world,블리자드 월드,2026-05-18,47.6,9.4,0.4,-0.11575414007798282,2.341805806147327,0.2905474410579334,-0.16933439677513268,B
에코,Damage,All,blizzard-world,블리자드 월드,2026-05-18,48.1,4.0,0.9,0.04914700919512763,1.6094379124341003,-0.9250832007060377,-0.3972968822224441,B
엠레,Damage,All,blizzard-world,블리자드 월드,2026-05-18,47.2,15.3,2.6,-0.24767505949647073,2.791165107812717,1.03642248685835,0.15632883505182624,A
오리사,Tank,All,blizzard-world,블리자드 월드,2026-05-18,45.7,10.6,7.2,-0.742378507315802,2.451005098112319,0.47180334606290325,-0.11409948300074087,B
우양,Support,All,blizzard-world,블리자드 월드,2026-05-18,50.7,12.3,0.6,0.9066329854153025,2.5877640352277083,0.6988044966043783,0.4880691020839891,S
위도우메이커,Damage,All,blizzard-world,블리자드 월드,2026-05-18,51.0,5.2,1.6,1.0055736749791677,1.824549292051046,-0.5680277007323115,0.24378012813342875,A
윈스턴,Tank,All,blizzard-world,블리자드 월드,2026-05-18,51.9,11.9,5.7,1.302395743670766,2.5572273113676265,0.6481177071614538,0.9252753270022148,S
일리아리,Support,All,blizzard-world,블리자드 월드,2026-05-18,51.0,12.4,7.0,1.0055736749791677,2.5952547069568657,0.7112379882409251,0.8273183300553766,S
자리야,Tank,All,blizzard-world,블리자드 월드,2026-05-18,48.2,6.4,32.5,0.08212723904975018,2.0014800002101243,-0.2743468988382377,0.3244505285902902,A
정커퀸,Tank,All,blizzard-world,블리자드 월드,2026-05-18,42.9,2.3,0.2,-1.665824943245222,1.1939224684724346,-1.6147820667294412,-1.5433661800721805,C
정크랫,Damage,All,blizzard-world,블리자드 월드,2026-05-18,46.0,4.8,0.4,-0.6434378177519368,1.7578579175523736,-0.678726270505617,-0.7239583490811747,C
제트팩 캣,Support,All,blizzard-world,블리자드 월드,2026-05-18,46.9,3.6,30.3,-0.3466157490603384,1.5260563034950494,-1.0634852793006804,-0.13873535096840756,B
젠야타,Support,All,blizzard-world,블리자드 월드,2026-05-18,49.5,12.6,1.1,0.5108702271598364,2.6100697927420065,0.7358290064919669,0.3496264356477532,A
주노,Support,All,blizzard-world,블리자드 월드,2026-05-18,47.7,7.2,0.2,-0.08277391022336027,2.1041341542702074,-0.10395502850775015,-0.2985925520947422,B
캐서디,Damage,All,blizzard-world,블리자드 월드,2026-05-18,44.7,18.4,1.5,-1.072180805862023,2.9652730660692823,1.3254179095803071,-0.23403421026302357,B
키리코,Support,All,blizzard-world,블리자드 월드,2026-05-18,49.4,52.3,2.4,0.47788999730521386,3.975936331171799,3.002980844971523,1.0989199839839487,S
토르비욘,Damage,All,blizzard-world,블리자드 월드,2026-05-18,46.1,4.2,0.3,-0.6104575878973142,1.6486586255873816,-0.8599821755105869,-0.7750163737378223,C
트레이서,Damage,All,blizzard-world,블리자드 월드,2026-05-18,49.2,11.1,6.9,0.41192953759597106,2.4932054526026954,0.5418501687761487,0.47744426171193116,A
파라,Damage,All,blizzard-world,블리자드 월드,2026-05-18,48.0,4.7,33.2,0.016166779340505068,1.7404661748405046,-0.7075941872121101,0.16517164924453787,A
프레야,Damage,All,blizzard-world,블리자드 월드,2026-05-18,49.0,6.6,7.6,0.345969077886726,2.028148247292285,-0.2300812523052651,0.22797396490422223,A
한조,Damage,All,blizzard-world,블리자드 월드,2026-05-18,46.5,6.9,0.3,-0.4785366684788263,2.066862759472976,-0.16582045156319897,-0.500807396844362,C
해저드,Tank,All,blizzard-world,블리자드 월드,2026-05-18,53.2,5.1,4.7,1.7311387317808546,1.8082887711792655,-0.5950179437405871,0.7379772633333483,S
D.VA,Tank,Bronze,blizzard-world,블리자드 월드,2026-05-18,43.2,8.7,11.6,-0.62541788118854,2.272125885509337,0.19128597917029344,-0.05334251687205385,B
겐지,Damage,Bronze,blizzard-world,블리자드 월드,2026-05-18,41.9,7.8,3.1,-0.792011716153588,2.174751721484161,0.04360398778284624,-0.36956855794563104,B
도미나,Tank,Bronze,blizzard-world,블리자드 월드,2026-05-18,44.1,6.4,10.9,-0.5100836877511997,2.0014800002101243,-0.2191876172086421,-0.12842058469165538,B
둠피스트,Tank,Bronze,blizzard-world,블리자드 월드,2026-05-18,47.4,3.6,38.0,-0.0871916451476181,1.5260563034950494,-0.9402363572575005,0.06614052413489618,A
라마트라,Tank,Bronze,blizzard-world,블리자드 월드,2026-05-18,44.7,9.6,3.7,-0.43319422545963915,2.3608540011180215,0.32585498868454477,-0.0825386944025995,B
라이프위버,Support,Bronze,blizzard-world,블리자드 월드,2026-05-18,48.6,5.4,0.2,0.06658727943550297,1.8562979903656263,-0.4393771155433744,-0.2915893293434568,B
라인하르트,Tank,Bronze,blizzard-world,블리자드 월드,2026-05-18,55.8,8.0,1.6,0.9892608269342267,2.1972245773362196,0.07768732125862304,0.454769062825667,S
레킹볼,Tank,Bronze,blizzard-world,블리자드 월드,2026-05-18,66.2,2.5,10.5,2.322011506654607,1.252762968495368,-1.3547251936929487,0.9412213078849307,S
